qid,text,query
114,من الذي خسف الله به الأرض؟,الذي خسف الله ب ارض
124,كم مدة عدة الأرملة؟,كم مده عده ارمله
126,ما هي شجرة الزقوم؟,ما هي شجره زقوم
135,ما هي وصايا لقمان لابنه؟,ما هي وصيه لقمان ابن
156,من هن المحرمات من النساء في الزواج؟,هن محرم نساء زواج
157,ما هي منزلة من يقتل في سبيل الله؟,ما هي منزله قتل سبيل الله
207,من هلك من أهل سيدنا نوح عليه السلام في الطوفان؟,هلك اهل سيد نوح علي سلام طوفان
224,لماذا ألقي سيدنا يوسف عليه السلام في الجب؟,لماذا القي سيد يوسف علي سلام جب
234,كم دامت دعوة نوح لقومه؟,كم دام دعوه نوح قوم
241,من هم الملائكة المذكورون في القرآن؟,هم ملاك مذكور قران
245,لماذا اهلك الله قوم شعيب؟,لماذا اهلك الله قوم شعيب
260,من هم أصحاب الإفك على السيدة عائشة؟,هم صاحب افك سيد عاءشه
322,هل تدبر القرآن فرض؟,هل تدبر قران فرض
330,ما هي الدلائل التي تشير بأن الانسان مخير؟,ما هي دليل الذي اشار ان انسان مخير
336,"لماذا تزوج النبي (ص) أكثر من أربعة نساء مع ان الآية 3  من سورة النساء ورد فيها ""فانكحوا ما طاب لكم من النساء مثنى وثلاث ورباع""؟",لماذا تزوج نبي ص اكثر اربع نساء مع ان ايه 3 سوره نساء ورد في انكح ما طاب ل نساء مثني ثلاث رباع
337,ما هي الإشارات للدماغ أو لأجزاء من الدّماغ في القرآن؟,ما هي اشاره دماغ او جزء دماغ قران
342,هل ورد في القرآن تنبيه من  صوت أو أصوات معيّنة؟,هل ورد قران تنبيه صوت او صوت معين
352,من هم الأنبياء الذين ذكروا في القرآن على أنهم مسلمون؟,هم نبي الذي ذكر قران ان مسلم
360,هل سيجمع الله بين المؤمنين وأبنائهم وأهلهم في الجنة؟,هل جمع الله بين مءمن ابن اهل جنه
384,ما معنى صلى الله عليه وسلم؟,ما معني صلي الله علي سلم
386,هل هناك علاقة بين الخوف أو الاضطرابات النفسية والشيب؟,هل هناك علاقه بين خوف او اضطراب نفسي شيب
397,ما هو موقف القرآن من المثلية الجنسية؟,ما هو موقف قران مثلي جنسيه
419,هل احترم الإسلام الأنبياء؟,هل احترم اسلام نبي
424,هل كرّم الإسلام المرأة؟,هل كرم اسلام مراه
428,هل أشار القرآن إلى العضو الذي يعقل به الإنسان؟,هل اشار قران عضو الذي عقل ب انسان
